Unnamed: 0,sample_id,organ,oncotree_code,disease_state,st_technology,oncotree_code_filled
0,MEND63,Brain,,Cancer,Visium,Cancer_Unspecified
1,TENX41,Prostate,,Healthy,Visium,Healthy
2,NCBI832,Liver,,Diseased,Visium,Diseased_Unspecified
5,NCBI881,Lung,,Diseased,Xenium,Diseased_Unspecified
6,NCBI487,Skin,,Diseased,Visium,Diseased_Unspecified
7,MEND36,Bowel,,Healthy,Visium,Healthy
8,NCBI708,Kidney,,Diseased,Visium,Diseased_Unspecified
11,NCBI490,Skin,,Diseased,Visium,Diseased_Unspecified
13,INT23,Kidney,CCRCC,Cancer,Visium,CCRCC
14,MEND146,Prostate,PRAD,Cancer,Visium,PRAD
15,NCBI476,Skin,,Diseased,Visium,Diseased_Unspecified
16,SPA144,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
17,MEND48,Kidney,,Healthy,Visium,Healthy
18,MISC29,Lung,,Treated,Visium,Treated_Unspecified
19,NCBI876,Lung,,Healthy,Xenium,Healthy
20,NCBI526,Skin,,Diseased,Visium,Diseased_Unspecified
21,MEND13,Prostate,,Cancer,Spatial Transcriptomics,Cancer_Unspecified
22,MISC34,Bowel,COAD,Cancer,Visium,COAD
23,NCBI520,Skin,,Diseased,Visium,Diseased_Unspecified
24,MISC47,Bowel,COAD,Cancer,Visium,COAD
25,NCBI570,Pancreas,PAAD,Cancer,Visium,PAAD
27,MISC20,Lung,,Treated,Visium,Treated_Unspecified
28,NCBI683,Lymph node,LYMPH_IDC,Cancer,Visium,LYMPH_IDC
30,MEND24,Prostate,,Cancer,Spatial Transcriptomics,Cancer_Unspecified
31,INT22,Kidney,CCRCC,Cancer,Visium,CCRCC
33,SPA0,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
36,NCBI766,Skin,CSCC,Cancer,Spatial Transcriptomics,CSCC
37,TENX27,Brain,,Healthy,Visium,Healthy
38,MEND34,Bowel,,Healthy,Visium,Healthy
39,INT17,Kidney,CCRCC,Cancer,Visium,CCRCC
40,NCBI477,Skin,,Diseased,Visium,Diseased_Unspecified
41,MISC14,Lung,,Treated,Visium,Treated_Unspecified
42,NCBI475,Skin,,Diseased,Visium,Diseased_Unspecified
43,INT9,Kidney,CCRCC,Cancer,Visium,CCRCC
44,MISC43,Bowel,COAD,Cancer,Visium,COAD
45,NCBI762,Skin,CSCC,Cancer,Spatial Transcriptomics,CSCC
46,NCBI594,Eye,,Healthy,Visium,Healthy
47,NCBI776,Breast,IDC,Cancer,Visium,IDC
48,INT21,Kidney,CCRCC,Cancer,Visium,CCRCC
49,MEND16,Prostate,,Cancer,Spatial Transcriptomics,Cancer_Unspecified
50,TENX95,Breast,IDC,Cancer,Xenium,IDC
51,NCBI486,Skin,,Diseased,Visium,Diseased_Unspecified
52,NCBI707,Kidney,,Diseased,Visium,Diseased_Unspecified
53,NCBI826,Liver,,Diseased,Visium,Diseased_Unspecified
55,MEND22,Prostate,,Cancer,Spatial Transcriptomics,Cancer_Unspecified
56,SPA126,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
57,SPA138,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
59,MEND15,Prostate,,Cancer,Spatial Transcriptomics,Cancer_Unspecified
61,MEND21,Prostate,,Cancer,Spatial Transcriptomics,Cancer_Unspecified
63,NCBI867,Lung,,Diseased,Xenium,Diseased_Unspecified
67,NCBI655,Brain,,Diseased,Visium,Diseased_Unspecified
